model,cv_rmse_log,cv_std
lasso,0.1080353951809423,0.012801493552076127
elasticnet,0.10819719037343445,0.012839435657312308
bayesian_ridge,0.110426333396842,0.012202007728053634
ridge,0.11076389634332065,0.01253524862517204
catboost,0.11152137757371158,0.013840621239738567
gbr,0.11214659284005357,0.011916133508366537
svr,0.11227812204031125,0.012087287024780423
lgbm,0.11359097030944079,0.012651992368171851
xgb,0.1142966142882503,0.012307438077912273
kernel_ridge,0.11865803384353395,0.011444314900310256
extra_trees,0.12304489968327223,0.015012548460607275
random_forest,0.1295587743760823,0.01160599904117656
